TIPO_PRODUTO;NOME_PRODUTO;CATEGORIA_REGULATORIA;NUMERO_REGISTRO_PRODUTO;CLASSE_TERAPEUTICA;CNPJ LABORATORIO;LABORATORIO;SITUACAO_REGISTRO;PRINCIPIO_ATIVO
MEDICAMENTO;A SAÚDE DA MULHER;NOVO;102351059;ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS;57507378000365;EMS S/A;VÁLIDO;EXTRATO FLUIDO DE CASCA DE LARANJA AMARGA +  EXTRATO FLUIDO DE PASSIFLORA ALATA +  SALICILATO DE SÓDIO +  TINTURA AGONIADA PLUMÉRIA
MEDICAMENTO;AAS;SIMILAR;183260386;ANALGESICOS NAO NARCOTICOS;10588595001092;SANOFI MEDLEY FARMACÊUTICA LTDA.;VÁLIDO;ACIDO ACETILSALICILICO
MEDICAMENTO;AAS PROTECT;SIMILAR;183260387;ANTIAGREGANTE PLAQUETARIO;10588595001092;SANOFI MEDLEY FARMACÊUTICA LTDA.;VÁLIDO;ÁCIDO ACETILSALICÍLICO
MEDICAMENTO;ABBA;SIMILAR;146820078;AGENTES ANTINEOPLÁSICOS;05035244000123;SUN FARMACÊUTICA DO BRASIL LTDA;VÁLIDO;ACETATO DE ABIRATERONA
MEDICAMENTO;ABC;SIMILAR;106890153;ANTIMICOTICOS PARA USO TOPICO;92695691000103;KLEY HERTZ FARMACEUTICA S.A;VÁLIDO;CLOTRIMAZOL
MEDICAMENTO;ABCLER ABNAT;SIMILAR;144930011;OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO;01858973000129;AIRELA INDÚSTRIA FARMACÊUTICA LTDA.;VÁLIDO;BETAÍNA +  CITRATO DE COLINA +  DL-METIONINA +  LEVOMETIONINA
MEDICAMENTO;ABERALGINA;SIMILAR;144930010;ANALGESICOS NAO NARCOTICOS;01858973000129;AIRELA INDÚSTRIA FARMACÊUTICA LTDA.;VÁLIDO;DIPIRONA
MEDICAMENTO;ABLOK;SIMILAR;109740100;BETABLOQUEADORES SIMPLES;49475833000106;BIOLAB SANUS FARMACÊUTICA LTDA;VÁLIDO;ATENOLOL
MEDICAMENTO;ABLOK PLUS;SIMILAR;109740092;ANTI-HIPERTENSIVOS;49475833000106;BIOLAB SANUS FARMACÊUTICA LTDA;VÁLIDO;ATENOLOL +  CLORTALIDONA
MEDICAMENTO;ABRETIA;SIMILAR;103900192;ANTIDEPRESSIVOS;33349473000158;FARMOQUÍMICA S/A;VÁLIDO;CLORIDRATO DE DULOXETINA
MEDICAMENTO;ABRIFIT;FITOTERÁPICO;154230216;EXPECTORANTES SIMPLES + FITOTERAPICO SIMPLES;03485572000104;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;VÁLIDO;HEDERA HELIX L.
MEDICAMENTO;ABRILAR;FITOTERÁPICO;103900141;EXPECTORANTES + FITOTERAPICO SIMPLES;33349473000158;FARMOQUÍMICA S/A;VÁLIDO;HEDERA HELIX L.
MEDICAMENTO;ACALMILFITO;FITOTERÁPICO;118190216;ANSIOLITICOS-ASSOCIACOES MEDICAMENTOSAS + FITOTERAPICO COMPOSTO;92265552000140;MULTILAB INDÚSTRIA E COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA;VÁLIDO;CRATAEGUS RHIPIDOPHYLLA GAND. +  PASSIFLORA INCARNATA L. +  VALERIANA OFFICINALIS L.
MEDICAMENTO;ACCUVIT;ESPECÍFICO;105730206;VITAMINAS E SUPLEMENTOS MINERAIS;60659463002992;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;VÁLIDO;ACETATO DE RACEALFATOCOFEROL +  BETACAROTENO +  OXIDO CUPRICO +  RIBOFLAVINA +  SELENATO DE SÓDIO +  ÁCIDO ASCÓRBICO +  ÓXIDO CÚPRICO +  ÓXIDO DE ZINCO
MEDICAMENTO;ACEBROFILINA;GENÉRICO;125680159;BRONCODILATADORES;73856593000166;PRATI DONADUZZI & CIA LTDA;VÁLIDO;ACEBROFILINA
MEDICAMENTO;ACEBROFILINA;GENÉRICO;154230123;BRONCODILATADORES;03485572000104;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;VÁLIDO;ACEBROFILINA
MEDICAMENTO;ACEBROFILINA;GENÉRICO;178170089;BRONCODILATADORES;61082426000207;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;VÁLIDO;ACEBROFILINA
MEDICAMENTO;ACEBROFILINA;GENÉRICO;155840398;BRONCODILATADORES;05161069000110;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;VÁLIDO;ACEBROFILINA
MEDICAMENTO;ACEBROFILINA;GENÉRICO;105730609;BRONCODILATADORES;60659463002992;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;VÁLIDO;ACEBROFILINA
MEDICAMENTO;ACECLOFENACO;GENÉRICO;123520100;ANTINFLAMATORIOS;73663650000190;RANBAXY FARMACÊUTICA LTDA;VÁLIDO;ACECLOFENACO
MEDICAMENTO;ACECLOFENACO;GENÉRICO;105830541;ANTINFLAMATORIOS;45992062000165;GERMED FARMACEUTICA LTDA;VÁLIDO;ACECLOFENACO
MEDICAMENTO;ACECLOFENACO;GENÉRICO;102351053;ANTINFLAMATORIOS;57507378000365;EMS S/A;VÁLIDO;ACECLOFENACO
MEDICAMENTO;ACECLOFENACO;GENÉRICO;105830742;ANTINFLAMATORIOS;45992062000165;GERMED FARMACEUTICA LTDA;VÁLIDO;ACECLOFENACO
MEDICAMENTO;ACECLOFENACO;GENÉRICO;167730357;ANTINFLAMATORIOS;05044984000126;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;VÁLIDO;ACECLOFENACO
MEDICAMENTO;ACECLOFENACO;GENÉRICO;126750156;ANTINFLAMATORIOS;72593791000111;NOVA QUIMICA FARMACÊUTICA S/A;VÁLIDO;ACECLOFENACO
MEDICAMENTO;ACECLOFENACO;GENÉRICO;103920172;ANTINFLAMATORIOS;30222814000131;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA;VÁLIDO;ACECLOFENACO
MEDICAMENTO;ACECLOFENACO;GENÉRICO;156510064;ANTINFLAMATORIOS;05254971000181;ZYDUS NIKKHO FARMACÊUTICA LTDA;VÁLIDO;ACECLOFENACO
MEDICAMENTO;ACEFLOR;SIMILAR;126750290;ANTINFLAMATORIOS;72593791000111;NOVA QUIMICA FARMACÊUTICA S/A;VÁLIDO;ACECLOFENACO
MEDICAMENTO;ACERATUM;SIMILAR;104400005;MEDICAMENTOS ATIVOS NA SECRECAO GORDUROSA;33173097000274;CELLERA FARMACÊUTICA S.A.;VÁLIDO;PERÓXIDO DE URÉIA
MEDICAMENTO;ACERTALIX;NOVO;112780077;ANTI-HIPERTENSIVOS;42374207000176;LABORATÓRIOS SERVIER DO BRASIL LTDA;VÁLIDO;INDAPAMIDA +  PERINDOPRIL ARGININA
MEDICAMENTO;ACERTANLO;NOVO;112780075;ANTI-HIPERTENSIVOS;42374207000176;LABORATÓRIOS SERVIER DO BRASIL LTDA;VÁLIDO;BESILATO DE ANLODIPINO +  PERINDOPRIL ARGININA
MEDICAMENTO;ACERTIL;NOVO;112780074;ANTI-HIPERTENSIVOS;42374207000176;LABORATÓRIOS SERVIER DO BRASIL LTDA;VÁLIDO;PERINDOPRIL ARGININA
MEDICAMENTO;ACESYL;ESPECÍFICO;164000001;VITAMINAS E SUPLEMENTOS MINERAIS;05155425000193;CASULA & VASCONCELOS INDÚSTRIA FARMACÊUTICA E COMÉRCIO LTDA;VÁLIDO;CLORIDRATO DE TIAMINA
MEDICAMENTO;ACETATO DE ABIRATERONA;GENÉRICO;100431245;ANTINEOPLASICO;61190096000192;EUROFARMA LABORATÓRIOS S.A.;VÁLIDO;ACETATO DE ABIRATERONA
MEDICAMENTO;ACETATO DE CIPROTERONA + ETINILESTRADIOL;SIMILAR;106460069;HORMONIOS SEXUAIS EXCLUSIVE OCITOCICOS;61282661000141;LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA;VÁLIDO;ACETATO DE CIPROTERONA
MEDICAMENTO;ACETATO DE CIPROTERONA+ETINILESTRADIOL;GENÉRICO;155840400;ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS;05161069000110;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;VÁLIDO;ACETATO DE CIPROTERONA +  ETINILESTRADIOL
MEDICAMENTO;ACETATO DE CIPROTERONA+ETINILESTRADIOL;GENÉRICO;177940029;ANDROGENOS SIMPLES;09545589000188;MABRA FARMACEUTICA LTDA;VÁLIDO;ACETATO DE CIPROTERONA +  ETINILESTRADIOL
MEDICAMENTO;ACETATO DE CLORMADINONA + ETINILESTRADIOL;GENÉRICO;126750408;ANTICONCEPCIONAIS;72593791000111;NOVA QUIMICA FARMACÊUTICA S/A;VÁLIDO;ACETATO DE CLORMADINONA +  ETINILESTRADIOL
MEDICAMENTO;ACETATO DE CLORMADINONA + ETINILESTRADIOL;GENÉRICO;167730674;ANTICONCEPCIONAIS;05044984000126;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;VÁLIDO;ACETATO DE CLORMADINONA +  ETINILESTRADIOL
MEDICAMENTO;ACETATO DE CLORMADINONA + ETINILESTRADIOL;GENÉRICO;105831005;ANTICONCEPCIONAIS;45992062000165;GERMED FARMACEUTICA LTDA;VÁLIDO;ACETATO DE CLORMADINONA +  ETINILESTRADIOL
